movie_id,title,content,poster_path
49521,Man of Steel,"a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. action adventure fantasy science_fiction saving_the_world dc_comics superhero based_on_comic_book superhuman alien_invasion reboot super_powers dc_extended_universe henry_cavill amy_adams michael_shannon zack_snyder",
2454,The Chronicles of Narnia: Prince Caspian,"one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now, with the help of a colorful cast of new characters, including trufflehunter the badger and nikabrik the dwarf, the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir. adventure family fantasy based_on_novel fictional_place brother_sister_relationship lion human_being wretch leap_in_time matter_of_life_and_death faith uncle narnia fantasy_world ben_barnes william_moseley anna_popplewell andrew_adamson",
24428,The Avengers,"when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins! science_fiction action adventure new_york shield marvel_comic superhero based_on_comic_book alien_invasion superhero_team aftercreditsstinger duringcreditsstinger marvel_cinematic_universe robert_downey_jr. chris_evans mark_ruffalo joss_whedon",
1865,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the queen anne's revenge, the ship of the formidable pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know who to fear more: blackbeard or the woman from his past. adventure action fantasy sea captain mutiny sword prime_minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnny_depp penélope_cruz ian_mcshane rob_marshall",
41154,Men in Black 3,"agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k (josh brolin) to save his partner, the agency, and the future of humankind. action comedy science_fiction time_travel time_machine alien fictional_government_agency seeing_the_future changing_history will_smith tommy_lee_jones josh_brolin barry_sonnenfeld",
122917,The Hobbit: The Battle of the Five Armies,"immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands. action adventure fantasy corruption elves dwarves orcs middle-earth_(tolkien) hobbit dragon battle unlikely_friendship epic_battle sword_and_sorcery martin_freeman ian_mckellen richard_armitage peter_jackson",
1930,The Amazing Spider-Man,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero. action adventure fantasy loss_of_father vigilante serum marvel_comic scientific_experiment spider_bite masked_vigilante reboot super_powers genetic_engineering social_outcast duringcreditsstinger andrew_garfield emma_stone rhys_ifans marc_webb",
20662,Robin Hood,"when soldier robin happens upon the dying robert of loxley, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's henchman, godfrey. action adventure robin_hood archer knight sherwood_forest bow_and_arrow middle_ages medieval king_of_england russell_crowe cate_blanchett max_von_sydow ridley_scott",
57158,The Hobbit: The Desolation of Smaug,"the dwarves, bilbo and gandalf have successfully escaped the misty mountains, and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon, smaug. adventure fantasy elves dwarves orcs hobbit dragon wizard sword_and_sorcery martin_freeman ian_mckellen richard_armitage peter_jackson",
2268,The Golden Compass,"after overhearing a shocking secret, precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it's part of her destiny. adventure fantasy england compass experiment lordship uncle polar_bear orphan animal based_on_young_adult_novel dakota_blue_richards nicole_kidman daniel_craig chris_weitz",
254,King Kong,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady. adventure drama action film_business screenplay show_business film_making film_producer exotic_island monster indigenous ship dinosaur naomi_watts jack_black adrien_brody peter_jackson",
597,Titanic,"84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning. drama romance thriller shipwreck iceberg ship panic titanic ocean_liner epic rich_woman_-_poor_man love disaster tragic_love class_differences imax star_crossed_lovers steerage salvage rich_snob 3d 1910s kate_winslet leonardo_dicaprio frances_fisher james_cameron",
271110,Captain America: Civil War,"following the events of age of ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avengers, causing two factions to side with iron man or captain america, which causes an epic battle between former allies. adventure action science_fiction civil_war war marvel_comic sequel superhero based_on_comic_book imax aftercreditsstinger duringcreditsstinger marvel_cinematic_universe 3d chris_evans robert_downey_jr. scarlett_johansson anthony_russo",
44833,Battleship,"when mankind beams a radio signal into space, a reply comes from ‘planet g’, in the form of several alien crafts that splash down in the waters off hawaii. lieutenant alex hopper is a weapons officer assigned to the uss john paul jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders, hopper must also try to live up to the potential his brother, and his fiancée's father, admiral shane, expect of him. thriller action adventure science_fiction fight u.s._navy mind_reading hong_kong soccer scientist fictional_war naval armada battleship naval_combat jds_myoko lost_communication taser buoy communications_expert joint_chiefs_of_staff crash_landing jet_fighter_pilot navy_lieutenant permission_to_marry uss_john_paul_jones based_on_board_game aftercreditsstinger mighty_mo uss_missouri taylor_kitsch alexander_skarsgård rihanna peter_berg",
135397,Jurassic World,"twenty-two years after the events of jurassic park, isla nublar now features a fully functioning dinosaur theme park, jurassic world, as originally envisioned by john hammond. action adventure science_fiction thriller monster dna tyrannosaurus_rex velociraptor island sequel suspense disaster escape dinosaur amusement_park animal_attack theme_park jurassic_park 3d animal_horror chris_pratt bryce_dallas_howard irrfan_khan colin_trevorrow",
37724,Skyfall,"when bond's latest assignment goes gravely wrong and agents around the world are exposed, mi6 is attacked forcing m to relocate the agency. these events cause her authority and position to be challenged by gareth mallory, the new chairman of the intelligence and security committee. with mi6 now compromised from both inside and out, m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent, eve - following a trail to the mysterious silva, whose lethal and hidden motives have yet to reveal themselves. action adventure thriller spy secret_agent sociopath killer art_gallery british_secret_service istanbul_turkey imax uzi booby_trap impersonating_a_police_officer macao daniel_craig judi_dench javier_bardem sam_mendes",
558,Spider-Man 2,"peter parker is going through a major identity crisis. burned out from being spider-man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil doc ock. in the meantime, parker still can't act on his feelings for mary jane watson, a girl he's loved since childhood. action adventure fantasy dual_identity love_of_one's_life pizza_boy marvel_comic sequel superhero doctor scientist tentacle death super_villain tobey_maguire kirsten_dunst james_franco sam_raimi",
68721,Iron Man 3,"when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution. action adventure science_fiction terrorist war_on_terror tennessee malibu marvel_comic superhero based_on_comic_book tony_stark iron_man aftercreditsstinger marvel_cinematic_universe mandarin 3d war_machine iron_patriot extremis robert_downey_jr. gwyneth_paltrow don_cheadle shane_black",
12155,Alice in Wonderland,"alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an english nobleman. at her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. arriving in a strange and surreal place called 'underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. alice realizes that she is there for a reason – to conquer the horrific jabberwocky and restore the rightful queen to her throne. family fantasy adventure based_on_novel fictional_place queen fantasy alice_in_wonderland fantasy_world 3d mia_wasikowska johnny_depp anne_hathaway tim_burton",
36668,X-Men: The Last Stand,"when a cure is found to treat mutations, lines are drawn amongst the x-men and the brotherhood, a band of powerful mutants organized under xavier's former ally, magneto. adventure action science_fiction thriller mutant marvel_comic based_on_comic_book superhuman beast cyclops aftercreditsstinger hugh_jackman halle_berry ian_mckellen brett_ratner",
62211,Monsters University,a look at the relationship between mike and sulley during their days at monsters university — when they weren't necessarily the best of friends. animation family monster dormitory games animation best_friend university scary aftercreditsstinger billy_crystal john_goodman steve_buscemi dan_scanlon,
8373,Transformers: Revenge of the Fallen,"sam witwicky leaves the autobots behind for a normal life. but when his mind is filled with cryptic symbols, the decepticons target him and he is dragged back into the transformers' war. science_fiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger shia_labeouf megan_fox josh_duhamel michael_bay",
91314,Transformers: Age of Extinction,"as humanity picks up the pieces, following the conclusion of ""transformers: dark of the moon,"" autobots and decepticons have all but vanished from the face of the planet. however, a group of powerful, ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful transformer menace sets earth in his cross-hairs. science_fiction action adventure sequel alien transformers giant_robot robot imax transforming_robot mark_wahlberg stanley_tucci kelsey_grammer michael_bay",
68728,Oz: The Great and Powerful,"oscar diggs, a small-time circus illusionist and con-artist, is whisked from kansas to the land of oz where the inhabitants assume he's the great wizard of prophecy, there to save oz from the clutches of evil. fantasy adventure family circus witch magic hope illusion lost magic_trick wizard 3d james_franco mila_kunis rachel_weisz sam_raimi",
102382,The Amazing Spider-Man 2,"for peter parker, life is busy. between taking out the bad guys as spider-man and spending time with the person he loves, gwen stacy, high school graduation cannot come quickly enough. peter has not forgotten about the promise he made to gwen’s father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, electro, emerges, an old friend, harry osborn, returns, and peter uncovers new clues about his past. action adventure fantasy obsession marvel_comic sequel based_on_comic_book electrocution medical_experiment electricity super_powers andrew_garfield emma_stone jamie_foxx marc_webb",
20526,TRON: Legacy,"sam flynn, the tech-savvy and daring son of kevin flynn, investigates his father's disappearance and is pulled into the grid. with the help of a mysterious program named quorra, sam quests to stop evil dictator clu from crossing into the real world. adventure action science_fiction artificial_intelligence secret_identity computer_program dystopia computer deception duel motorcycle neon_light autocracy garrett_hedlund jeff_bridges olivia_wilde joseph_kosinski",
49013,Cars 2,star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race. but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own: international espionage. animation family adventure comedy car_race sequel comedy anthropomorphism best_friend duringcreditsstinger owen_wilson larry_the_cable_guy michael_caine john_lasseter,
44912,Green Lantern,"for centuries, a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order. each green lantern wears a ring that grants him superpowers. but when a new enemy called parallax threatens to destroy the balance of power in the universe, their fate and the fate of earth lie in the hands of the first human ever recruited. adventure action thriller science_fiction dc_comics transformation superhero alien alien_infection magical_object protector super_powers origin 3d ryan_reynolds blake_lively peter_sarsgaard martin_campbell",
10193,Toy Story 3,"woody, buzz, and the rest of andy's toys haven't been played with in years. with andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. the toys must band together to escape and return home to andy. animation family comedy hostage college toy barbie animation escape day_care teddy_bear duringcreditsstinger toy_comes_to_life personification inanimate_objects_coming_to_life toy_story tom_hanks tim_allen ned_beatty lee_unkrich",
534,Terminator Salvation,"all grown up in post-apocalyptic 2018, john connor must lead the resistance of humans against the increasingly dominating militaristic robots. but when marcus wright appears, his existence confuses the mission as connor tries to determine whether wright has come from the future or the past -- and whether he's friend or foe. action science_fiction thriller saving_the_world artificial_intelligence prophecy san_francisco cyborg killer_robot gas_station post-apocalyptic dystopia army firearm wartime los_angeles christian_bale sam_worthington anton_yelchin mcg",
168259,Furious 7,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother. action car_race speed revenge suspense car race muscle_car vin_diesel paul_walker dwayne_johnson james_wan,
72190,World War Z,"life for former united nations investigator gerry lane and his family seems content. suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. after barely escaping the chaos, lane is persuaded to go on a mission to investigate this disease. what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls. action drama horror science_fiction thriller dystopia apocalypse zombie nuclear_weapons multiple_perspectives zombie_apocalypse brad_pitt mireille_enos abigail_hargrove marc_forster",
127585,X-Men: Days of Future Past,the ultimate x-men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future. action adventure fantasy science_fiction 1970s mutant time_travel marvel_comic based_on_comic_book superhuman storm beast aftercreditsstinger changing_the_past_or_future hugh_jackman james_mcavoy michael_fassbender bryan_singer,
54138,Star Trek Into Darkness,"when the crew of the enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  with a personal score to settle, captain kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. as our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family kirk has left: his crew. action adventure science_fiction spacecraft friendship sequel futuristic space alien imax space_opera terrorist_bombing 3d chris_pine zachary_quinto zoe_saldana j.j._abrams",
81005,Jack the Giant Slayer,"the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. unleashed on the earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, jack into the battle of his life to stop them. fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself. action family fantasy based_on_fairy_tale giant nicholas_hoult eleanor_tomlinson ewan_mcgregor bryan_singer",
64682,The Great Gatsby,"an adaptation of f. scott fitzgerald's long island-set novel, where midwesterner nick carraway is lured into the lavish world of his neighbor, jay gatsby. soon enough, however, carraway will see through the cracks of gatsby's nouveau riche existence, where obsession, madness, and tragedy await. drama romance based_on_novel infidelity obsession hope 3d leonardo_dicaprio tobey_maguire carey_mulligan baz_luhrmann",
9543,Prince of Persia: The Sands of Time,"a rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time – gift from the gods that can reverse time and allow its possessor to rule the world. adventure fantasy action romance persia sandstorm brother_against_brother armageddon regent based_on_video_game jake_gyllenhaal gemma_arterton ben_kingsley mike_newell",
68726,Pacific Rim,"when legions of monstrous creatures, known as kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. to combat the giant kaiju, a special type of weapon was devised: massive robots, called jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. but even the jaegers are proving nearly defenseless in the face of the relentless kaiju. on the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (charlie hunnam) and an untested trainee (rinko kikuchi)—who are teamed to drive a legendary but seemingly obsolete jaeger from the past. together, they stand as mankind's last hope against the mounting apocalypse. action science_fiction adventure dystopia giant_robot giant_monster apocalypse imax duringcreditsstinger 3d idris_elba charlie_hunnam charlie_day guillermo_del_toro",
38356,Transformers: Dark of the Moon,"sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobot-leader optimus prime. the film centers around the space race between the ussr and the usa, suggesting there was a hidden transformers role in it all that remains one of the planet's most dangerous secrets. action science_fiction adventure moon spacecraft traitor bodyguard alien_planet based_on_cartoon transformers giant_robot sabotage word_domination commando duringcreditsstinger shia_labeouf john_malkovich ken_jeong michael_bay",
217,Indiana Jones and the Kingdom of the Crystal Skull,"set during the cold war, the soviets – led by sword-wielding irina spalko – are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. after being captured and then escaping from them, indy is coerced to head to peru at the behest of a young man whose friend – and indy's colleague – professor oxley has been captured for his knowledge of the skull's whereabouts. adventure action saving_the_world riddle whip treasure mexico_city leather_jacket machinegun alien_phenomenons maya_civilization peru treasure_hunt nuclear_explosion refrigerator archaeologist indiana_jones archeology  harrison_ford cate_blanchett shia_labeouf steven_spielberg",
105864,The Good Dinosaur,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend. adventure animation family tyrannosaurus_rex friends alternate_history dinosaur fear storm nature human journey raymond_ochoa jack_bright jeffrey_wright peter_sohn,
62177,Brave,"brave is set in the mystical scottish highlands, where mérida is the princess of a kingdom ruled by king fergus and queen elinor. an unruly daughter and an accomplished archer, mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. in an attempt to set things right, mérida seeks out an eccentric old wise woman and is granted an ill-fated wish. also figuring into mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous lord macguffin, the surly lord macintosh, and the disagreeable lord dingwall. animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious_daughter turns_into_animal archery ruins aftercreditsstinger peace_offering woman_director courage 3d kelly_macdonald julie_walters billy_connolly brenda_chapman",
188927,Star Trek Beyond,"the uss enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test. action adventure science_fiction sequel stranded hatred space_opera chris_pine zachary_quinto karl_urban justin_lin",
10681,WALL·E,"wall·e is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space. for 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. when a ship arrives with a sleek new type of robot, wall·e thinks he's finally found a friend and stows away on the ship when it leaves. animation family romantic_comedy ben_burtt elissa_knight jeff_garlin andrew_stanton",
5174,Rush Hour 3,"after an attempted assassination on ambassador han, inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads' secret leaders. lee also holds secret meetings with a united nations authority, but his personal struggles with a chinese criminal mastermind named kenji, which reveals that it's lee's long-lost...brother. action comedy crime thriller ambassador chris_tucker jackie_chan hiroyuki_sanada brett_ratner",
14161,2012,"dr. adrian helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. he warns u.s. president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. meanwhile, writer jackson curtis stumbles on the same information. while the world's leaders race to build ""arks"" to escape the impending cataclysm, curtis struggles to find a way to save his family. meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. action adventure science_fiction civilization natural_disaster end_of_the_world disaster apocalypse destruction volcanic_eruption mayan ark solar destruction__of_mankind john_cusack amanda_peet chiwetel_ejiofor roland_emmerich",
17979,A Christmas Carol,"miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption. animation drama holiday based_on_novel victorian_england money christmas_eve scrooge christmas_carol ghost lesson charles_dickens christmas gary_oldman jim_carrey steve_valentine robert_zemeckis",
76757,Jupiter Ascending,"in a universe where human genetic material is the most precious commodity, an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… science_fiction fantasy action adventure jupiter space woman_director 3d interspecies_romance mila_kunis channing_tatum sean_bean lilly_wachowski",
258489,The Legend of Tarzan,"tarzan, having acclimated to life in london, is called back to his former home in the jungle to investigate the activities at a mining encampment. action adventure africa feral_child tarzan jungle animal_attack alexander_skarsgård margot_robbie christoph_waltz david_yates",
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","siblings lucy, edmund, susan and peter step through a magical wardrobe and find the land of narnia. there, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil white witch, jadis. aided by the wise and magnificent lion, aslan, the children lead narnia into a spectacular, climactic battle to be free of the witch's glacial powers forever. adventure family fantasy saving_the_world witch based_on_novel brother_sister_relationship self_sacrifice winter cupboard beaver lion fairy-tale_figure battle narnia fantasy_world duringcreditsstinger william_moseley anna_popplewell skandar_keynes andrew_adamson",
246655,X-Men: Apocalypse,"after the re-emergence of the world's first mutant, world-destroyer apocalypse, the x-men must unite to defeat his extinction level plan. science_fiction mutant supernatural_powers marvel_comic superhero based_on_comic_book superhuman apocalypse superhero_team world_domination aftercreditsstinger 1980s james_mcavoy michael_fassbender jennifer_lawrence bryan_singer",
155,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker. drama action crime thriller dc_comics crime_fighter secret_identity scarecrow sadism chaos gotham_city vigilante joker superhero based_on_comic_book tragic_hero organized_crime criminal_mastermind district_attorney imax super_villain super_powers batman christian_bale heath_ledger aaron_eckhart christopher_nolan",
14160,Up,"carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. but at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old wilderness explorer named russell) gives him a new lease on life. animation comedy family adventure age_difference central_and_south_america balloon animation floating_in_the_air duringcreditsstinger exploring ed_asner christopher_plummer jordan_nagai pete_docter",
